country,gdesc,kdp_1mo,kdp_3mo,kdp_6mo,kdp_1yr,kdp_2yr,kdp_3yr,kdp_4yr,kdp_5yr,kdp_7yr,kdp_10yr,Cluster
GRC,Utilities,0.004151409037520391,0.004431290032626427,0.004866719086460032,0.005581728352365416,0.0064378528874388255,0.006874839477977161,0.007154735889070146,0.007324334551386624,0.0075505149755301796,0.007699158042414355,1
HRV,Communications,0.003416904926108374,0.0037291919704433496,0.004191030541871921,0.0049677538916256155,0.005887844581280788,0.0063603205911330046,0.006660228571428572,0.006847389162561576,0.007097039408866996,0.007266198620689655,1
HRV,Cons Disc,0.007268572938577112,0.007516768519664162,0.007849392669023422,0.008247284666372074,0.008521109443216969,0.008609080163499778,0.008640141931064958,0.008624896425099424,0.008599173787008396,0.008529220605391073,1
HRV,Cons Stap,0.010354982285556171,0.01062143774764804,0.01101155426674046,0.011433172639734356,0.011476527421140007,0.011324249706696186,0.011132928898727178,0.010919701079136692,0.010591924222468175,0.01026212023242944,1
HRV,Energy,3.40987735042735e-4,4.0426846153846153e-4,5.09854829059829e-4,7.827255128205128e-4,0.0014931467948717948,0.0020472710256410256,0.002527292905982906,0.002922678076923077,0.0035411787606837606,0.004042991965811966,1
HRV,Financials,0.011175018019047618,0.011377833866666668,0.011788968180952382,0.012268630542857144,0.012300709542857145,0.012042795942857143,0.011744220628571429,0.011426426266666666,0.010944857638095239,0.01049641559047619,2
HRV,Health Care,0.010620136108374385,0.010994641379310345,0.011479174630541872,0.011971214679802956,0.012000649507389162,0.011800270295566503,0.01155675487684729,0.011293525172413792,0.010888222906403941,0.01049101039408867,2
HRV,Industrials,0.013631278620361563,0.014014358568030448,0.014569859134157946,0.015131390218839198,0.01498232365842055,0.014607564448144622,0.014202362031398668,0.013796319215033303,0.01316731950047574,0.012574172854424357,2
HRV,Info Tech,5.13440612244898e-4,5.983855782312925e-4,7.390313605442177e-4,0.001086444761904762,0.0019170922448979591,0.0025270197959183674,0.0030316597278911566,0.003432064761904762,0.004042249931972789,0.004530501700680272,1
HRV,Materials,0.02180137897810219,0.022584106569343065,0.02344245532846715,0.023842169635036495,0.022445353503649634,0.021188766496350365,0.020095682116788322,0.01914797481751825,0.01773926226277372,0.01647581824817518,2
HRV,Real Estate,3.790526923076923e-4,4.7036038461538464e-4,6.176873076923077e-4,9.951038461538462e-4,0.0019196588461538463,0.002647254230769231,0.0032614296153846154,0.003762533076923077,0.004518621153846154,0.005121534230769231,1
IRL,Communications,0.002730203011583012,0.00304110444015444,0.0034914808880308883,0.0043529239382239385,0.005689254324324323,0.006451795752895753,0.006951607760617761,0.007274766409266409,0.007689174015444015,0.0079620413899613891,1
IRL,Cons Disc,0.0034294108413793095,0.003704809448275863,0.0040918963034482754,0.00478260724137931,0.005804910855172414,0.006431038896551724,0.006869955848275862,0.0071739238344827585,0.007585507268965517,0.007872876689655172,1
IRL,Cons Stap,0.001475412168087698,0.001650484263093788,0.0019292405846528624,0.0025159086845310597,0.003583216455542022,0.004260766638246041,0.004762523520097442,0.005126210913520097,0.005645959244823386,0.006043441546894032,1
IRL,Energy,0.011452267701949861,0.012134068147632312,0.012949246545961001,0.014194626894150419,0.015547166768802228,0.016166142799442895,0.016400290320334264,0.01643092983286908,0.016301455543175487,0.015976316866295266,2
